image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,3,0.832554,car,car,True
drive_022,2,1,0.906993,car,car,True
drive_022,3,2,0.913518,bus,van,False
drive_022,4,5,0.865991,truck,bus,False
drive_022,5,4,0.810785,car,car,True
drive_033,1,12,0.943092,bus,van,False
drive_033,2,8,0.859541,car,car,True
drive_033,3,10,0.807947,car,car,True
drive_033,4,7,0.896159,car,car,True
drive_033,5,3,0.893977,car,car,True
drive_033,6,9,0.914278,car,car,True
drive_033,8,4,0.795227,car,car,True
drive_033,9,6,0.82972,car,car,True
drive_033,12,5,0.89734,car,car,True
drive_033,33,1,0.989509,bus,van,False
drive_033,34,2,0.872858,truck,bus,False
drive_033,35,11,0.880792,car,car,True
drive_038,2,5,0.885824,truck,bus,False
drive_038,3,4,0.943608,car,car,True
drive_038,4,3,0.941443,car,car,True
drive_038,5,2,0.93394,car,car,True
drive_038,6,1,0.943328,car,car,True
drive_038,7,17,0.971182,car,car,True
drive_038,8,16,0.893438,car,car,True
drive_038,9,9,0.899194,truck,bus,False
drive_038,10,15,0.907564,van,truck,False
drive_038,11,14,0.868738,car,car,True
drive_038,12,13,0.892539,car,car,True
drive_038,13,8,0.925935,car,car,True
drive_038,14,10,0.857563,car,car,True
drive_038,15,7,0.857231,car,car,True
drive_038,16,11,0.89068,car,car,True
drive_038,17,6,0.834012,car,car,True
drive_038,18,12,0.863483,car,car,True
drive_008,3,4,0.941195,car,car,True
drive_008,4,12,0.884386,van,truck,False
drive_008,5,3,0.929395,van,truck,False
drive_008,6,5,0.839272,van,truck,False
drive_008,7,1,0.873022,truck,bus,False
drive_008,9,2,0.932401,car,car,True
drive_008,12,7,0.790407,car,car,True
drive_008,13,13,0.737932,car,car,True
drive_008,14,14,0.862179,car,car,True
drive_008,15,15,0.171085,car,car,True
drive_008,19,16,0.920814,car,car,True
drive_008,30,6,0.884035,car,car,True
drive_008,31,11,0.944812,car,car,True
drive_008,32,9,0.965597,bus,van,False
